step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.46591,0.8012,,
2,1.14833,0.82051,,
3,1.36723,0.77301,,
4,1.17036,0.80625,,
5,1.45425,0.78616,,
6,1.15479,0.84242,,
7,1.29235,0.80473,,
8,1.12695,0.81935,,
9,1.27178,0.79195,,
10,1.06593,0.8535,,
11,1.07183,0.81875,,
12,0.92892,0.83851,,
13,1.03644,0.82166,,
14,0.67929,0.86364,,
15,1.12441,0.81325,,
16,0.97291,0.82099,,
17,0.91444,0.7973,,
18,1.03424,0.84663,,
19,0.88793,0.80892,,
20,0.86768,0.87662,,
21,0.70329,0.85629,,
22,0.80958,0.8284,,
23,1.08781,0.79268,,
24,0.79973,0.83537,,
25,0.89906,0.8,,
26,0.73845,0.83133,,
27,0.64042,0.84906,,
28,0.60124,0.85802,,
29,0.76832,0.83444,,
30,0.59935,0.88608,,
31,0.77027,0.8375,,
32,0.74127,0.84967,,
33,0.62632,0.87662,,
34,0.49754,0.87425,,
35,0.61392,0.84713,,
36,0.72365,0.85799,,
37,0.39078,0.90854,,
38,0.72643,0.8253,,
39,0.77526,0.83871,,
40,0.50093,0.88679,,
41,0.58671,0.87821,,
42,0.46166,0.87805,,
43,0.51936,0.87273,,
44,0.43308,0.88757,,
45,0.6005,0.88889,,
46,0.70387,0.84472,,
47,0.64173,0.83951,,
48,0.42331,0.91139,,
49,0.59771,0.88125,,
50,0.58984,0.875,,
51,0.3541,0.92453,,
52,0.51439,0.88554,,
53,0.50631,0.88095,,
54,0.39538,0.90909,,
55,0.44059,0.90741,,
56,0.58821,0.87898,,
57,0.44461,0.90303,,
58,0.44723,0.91195,,
59,0.29258,0.90244,,
60,0.52115,0.8882,,
61,0.38073,0.90506,,
62,0.37277,0.89937,,
63,0.33909,0.90798,,
64,0.44902,0.87273,,
65,0.63992,0.87037,,
66,0.30609,0.93711,,
67,0.31604,0.92903,,
68,0.44454,0.89744,,
69,0.45809,0.88554,,
70,0.28579,0.92357,,
71,0.39911,0.91411,,
72,0.52189,0.86875,,
73,0.38148,0.88554,,
74,0.42615,0.90446,,
75,0.33373,0.93125,,
76,0.40506,0.88462,,
77,0.33617,0.90698,,
78,0.45143,0.88889,,
79,0.44353,0.87037,,
80,0.42653,0.9026,,
81,0.28352,0.92405,,
82,0.44722,0.89241,,
83,0.36192,0.92814,,
84,0.49131,0.8875,,
85,0.43752,0.88485,,
86,0.4193,0.89571,,
87,0.44539,0.86875,,
88,0.22709,0.94083,,
89,0.26538,0.93452,,
90,0.70638,0.84756,,
91,0.36651,0.89441,,
92,0.30186,0.91875,,
93,0.33102,0.90303,,
94,0.36417,0.89222,,
95,0.49149,0.88344,,
96,0.61618,0.86957,,
97,0.31362,0.9434,,
98,0.39246,0.90385,,
99,0.25724,0.94012,,
100,0.39156,0.9,0.40013,0.90566
101,0.44703,0.89103,,
102,0.26849,0.92593,,
103,0.39111,0.88889,,
104,0.30797,0.92405,,
105,0.16494,0.95758,,
106,0.3312,0.92453,,
107,0.28608,0.92169,,
108,0.2064,0.94079,,
109,0.43644,0.88824,,
110,0.35087,0.89172,,
111,0.34481,0.92121,,
112,0.32025,0.9172,,
113,0.41262,0.8773,,
114,0.37037,0.91824,,
115,0.40598,0.90533,,
116,0.38732,0.91503,,
117,0.30626,0.91195,,
118,0.37437,0.89677,,
119,0.31035,0.90964,,
120,0.35224,0.9,,
121,0.21178,0.94268,,
122,0.29755,0.91716,,
123,0.3049,0.91975,,
124,0.35985,0.89937,,
125,0.35091,0.89881,,
126,0.2966,0.9172,,
127,0.41257,0.91304,,
128,0.25823,0.92727,,
129,0.31729,0.91139,,
130,0.39487,0.90625,,
131,0.33541,0.9085,,
132,0.391,0.89143,,
133,0.37433,0.90062,,
134,0.38139,0.90132,,
135,0.3137,0.89308,,
136,0.51381,0.85897,,
137,0.37787,0.89634,,
138,0.26586,0.93293,,
139,0.29702,0.91772,,
140,0.27214,0.91566,,
141,0.26195,0.91358,,
142,0.36857,0.92405,,
143,0.27713,0.91667,,
144,0.31504,0.8882,,
145,0.39033,0.89506,,
146,0.287,0.92453,,
147,0.30215,0.925,,
148,0.39156,0.92262,,
149,0.3604,0.90968,,
150,0.41339,0.89697,,
151,0.40717,0.89941,,
152,0.34912,0.89634,,
153,0.35699,0.8982,,
154,0.30982,0.91304,,
155,0.16755,0.95294,,
156,0.27412,0.93252,,
157,0.17848,0.95625,,
158,0.30341,0.92683,,
159,0.30531,0.91925,,
160,0.19454,0.92857,,
161,0.22567,0.93421,,
162,0.23327,0.92547,,
163,0.42058,0.88312,,
164,0.39261,0.92727,,
165,0.24013,0.93373,,
166,0.39256,0.91379,,
167,0.1626,0.96795,,
168,0.3238,0.91613,,
169,0.08793,0.975,,
170,0.29969,0.925,,
171,0.48677,0.90385,,
172,0.33184,0.90728,,
173,0.25536,0.92697,,
174,0.29649,0.91875,,
175,0.21003,0.95322,,
176,0.25901,0.92308,,
177,0.2197,0.92941,,
178,0.18839,0.94375,,
179,0.22317,0.94545,,
180,0.3833,0.91139,,
181,0.23776,0.92857,,
182,0.30781,0.93293,,
183,0.30673,0.89222,,
184,0.29819,0.92994,,
185,0.26993,0.92216,,
186,0.30469,0.92547,,
187,0.31719,0.92638,,
188,0.32913,0.92025,,
189,0.28574,0.92667,,
190,0.31872,0.92994,,
191,0.17484,0.95758,,
192,0.22533,0.94375,,
193,0.27012,0.93865,,
194,0.16621,0.93038,,
195,0.16514,0.95625,,
196,0.13408,0.97546,,
197,0.27784,0.93976,,
198,0.48871,0.89032,,
199,0.30798,0.92727,,
200,0.34723,0.90789,0.41291,0.89697
201,0.41915,0.89535,,
202,0.28953,0.93976,,
203,0.22311,0.93865,,
204,0.30654,0.92025,,
205,0.15577,0.95266,,
206,0.19851,0.9422,,
207,0.25326,0.93789,,
208,0.31669,0.93038,,
209,0.47272,0.88757,,
210,0.32794,0.90244,,
211,0.22533,0.93252,,
212,0.18282,0.94231,,
213,0.23836,0.9557,,
214,0.33589,0.94375,,
215,0.33224,0.92073,,
216,0.34882,0.89172,,
217,0.22535,0.94156,,
218,0.36793,0.91411,,
219,0.23759,0.94012,,
220,0.2161,0.9359,,
221,0.31891,0.92357,,
222,0.15547,0.94643,,
223,0.49328,0.88957,,
224,0.28003,0.92727,,
225,0.24086,0.94012,,
226,0.22595,0.93293,,
227,0.34211,0.90244,,
228,0.24547,0.94706,,
229,0.17848,0.94268,,
230,0.17094,0.94937,,
231,0.2305,0.93168,,
232,0.24859,0.94194,,
233,0.31339,0.9,,
234,0.39563,0.90062,,
235,0.38157,0.90968,,
236,0.24316,0.93293,,
237,0.24496,0.92453,,
238,0.14958,0.95349,,
239,0.31801,0.92073,,
240,0.25906,0.93865,,
241,0.20346,0.95,,
242,0.29018,0.93125,,
243,0.46114,0.89222,,
244,0.17824,0.95,,
245,0.13888,0.95429,,
246,0.17749,0.95977,,
247,0.20669,0.9434,,
248,0.19745,0.93711,,
249,0.23825,0.95858,,
250,0.30325,0.92073,,
251,0.12927,0.95266,,
252,0.32026,0.92262,,
253,0.26871,0.90303,,
254,0.34687,0.9,,
255,0.21528,0.93902,,
256,0.24792,0.94268,,
257,0.27265,0.95092,,
258,0.17164,0.93865,,
259,0.22159,0.95152,,
260,0.20983,0.94231,,
261,0.28107,0.90625,,
262,0.1169,0.96386,,
263,0.16246,0.95,,
264,0.15455,0.95455,,
265,0.15206,0.95732,,
266,0.22778,0.92357,,
267,0.28027,0.92763,,
268,0.40812,0.91083,,
269,0.27189,0.92405,,
270,0.14418,0.95062,,
271,0.19331,0.94937,,
272,0.19305,0.94231,,
273,0.16637,0.94578,,
274,0.2024,0.93373,,
275,0.14288,0.94737,,
276,0.21626,0.91824,,
277,0.13341,0.94798,,
278,0.14275,0.95706,,
279,0.27283,0.92357,,
280,0.19577,0.95062,,
281,0.14853,0.94083,,
282,0.18101,0.94118,,
283,0.27759,0.93789,,
284,0.13634,0.94937,,
285,0.30637,0.91716,,
286,0.33602,0.9085,,
287,0.16234,0.95732,,
288,0.23621,0.92727,,
289,0.30072,0.94444,,
290,0.13938,0.95758,,
291,0.2696,0.91667,,
292,0.13541,0.9625,,
293,0.20552,0.90446,,
294,0.10832,0.96988,,
295,0.16975,0.95513,,
296,0.2712,0.92814,,
297,0.17241,0.96296,,
298,0.10056,0.97531,,
299,0.20625,0.92982,,
300,0.27323,0.93038,0.3258,0.91824
301,0.17697,0.95,,
302,0.21259,0.94969,,
303,0.26507,0.91975,,
304,0.12275,0.96875,,
305,0.19207,0.96203,,
306,0.14362,0.95758,,
307,0.20086,0.92121,,
308,0.18059,0.96386,,
309,0.12451,0.96296,,
310,0.06598,0.97516,,
311,0.24837,0.94304,,
312,0.17239,0.95858,,
313,0.17882,0.9441,,
314,0.29597,0.91411,,
315,0.24179,0.94479,,
316,0.17261,0.95181,,
317,0.3043,0.93125,,
318,0.2158,0.94904,,
319,0.28614,0.92683,,
320,0.12891,0.96933,,
321,0.12507,0.95,,
322,0.19862,0.9281,,
323,0.18826,0.93333,,
324,0.16999,0.95679,,
325,0.20226,0.92208,,
326,0.24404,0.93789,,
327,0.25071,0.96178,,
328,0.28756,0.94375,,
329,0.1684,0.9441,,
330,0.14718,0.95706,,
331,0.14165,0.96226,,
332,0.30829,0.94012,,
333,0.20026,0.91925,,
334,0.16388,0.94231,,
335,0.23515,0.92105,,
336,0.10356,0.95302,,
337,0.27642,0.94937,,
338,0.10387,0.96154,,
339,0.18964,0.94231,,
340,0.15136,0.94118,,
341,0.13721,0.95541,,
342,0.16005,0.94304,,
343,0.3124,0.91139,,
344,0.20691,0.93789,,
345,0.22842,0.9434,,
346,0.13575,0.96875,,
347,0.29183,0.93642,,
348,0.18453,0.93939,,
349,0.11014,0.98204,,
350,0.15992,0.94828,,
351,0.14113,0.95322,,
